Description,AvgProfitMargin,TotalSalesDollars,TargetBrand
Angeline Pnt Nr,42.54602633515656,223629.58000000002,No
Angeline Pnt Nr Rsv,39.7738552188287,190470.9,No
Angeline Rsv Cab Svgn,51.45355959856002,20447.39,No
Angeline Svgn Bl RRV,34.15637860082305,255.15,No
Angelini Pnt Grigio Veneto,31.33772114127556,58661.03,No
Angelini Pnt Nr Veneto,38.29587061926917,31536.69,No
Angelini Sangiovese Pesaresi,38.052530429212034,1888.81,No
Angels & Cowboys Rose,32.06084703359542,12087.36,No
Angels Envy Hanover Chop,23.070232659273753,275.94,No
Angels Envy Whiskey,24.32908223435732,160767.84,No
Angels Landing Cab Svgn,22.404355704823374,4817.59,No
Angoves Nine Vines Moscato,2.289786943665176,395.67,No
Anna de Codorniu Brut Cava,28.758279170233823,20522.89,No
Anna de Codorniu Brut Rose,34.64665415884928,191.88,No
Annabella Cab Svgn Napa,24.60095251840092,1039.35,No
Anne Amie Pnt Nr,27.46615995252092,23639.89,No
Antech Limoux Brut,0.9174311926605447,1618.65,No
Anterra Chardonnay,91.84325234128869,4634.2,No
Anthology Conn Crk Cab Napa,23.311020086723943,4164.9400000000005,No
Antica Cab Svgn Napa Valley,21.007379809414633,2791.4,No
Antica Chard Napa Valley,31.12380824718084,1193.62,No
Antica Fratta Franciacorta B,44.51872498271057,6680.38,No
Antico Colle Chianti Colli,33.75796178343949,263.76,No
Antico Colle Rosso di Montep,34.922541589208265,11538.45,No
Antigal Uno Cab Mendza,72.64478863160048,782.52,No
Antigal Uno Malbec Mendoza,27.80703382581723,41807.12,No
Antinori Badia Chianti Clsc,28.73782574361674,455.88,No
Antinori Bolgheri Guado,56.80242889252386,5948.39,No
Antinori Brnllo Mntlcno Pain,50.89196033216857,1413.74,No
Antinori Cervaro della Salla,37.65813474551339,271.92,No
Antinori Chianti Clsc Pepoli,43.461498032512665,10940.35,No
Antinori Orvieto Clsc Campo,42.35956144123614,8881.82,No
Antinori Tenuta Marchese,33.714921814475794,21272.48,No
Antinori Tignanello,48.28273897347183,9115.97,No
Antinori Toscana Rd,41.00437554681611,137534.81,No
Antinori Villa Chianti Class,29.44781134750739,31553.89,No
Antinori Villa Wh,36.739353123041404,29022.83,No
Antiquary 12 Yr Old Scotch,24.23299244108493,134.94,No
Anton Bauer Gmork Rose,34.66761972837741,167.88,No
Apaltagua Envero Gran Rsv,8.892738174550301,750.5,No
Apaltagua Rose Carmenere,30.4559237233119,7671.02,No
Aperol Liqueur,31.68541447892583,118710.73999999999,No
Apimed Old Slavic Mead Dark,34.93862134088762,953.0999999999999,No
Apimed Old Slavic Mead Light,39.093484419263454,635.4,No
Apimed Slovak Mead,38.163502518403725,464.58,No
Apimed Trnava Mead,40.12511170688114,335.7,No
Apothic Crush,21.474382039140753,108390.36,No
Apothic Dark,35.56915572092254,243756.84,No
Apothic Inferno,34.60634684653161,47582.37,No
Apothic Winemakers Red Blend,36.57299135841387,812899.38,No
Apothic Winemakers White,38.276967013857785,147400.08,No
Apple Orchard Liqueur,90.2090209020902,2017.98,No
